# SYNTHETIC
account_id,customer_segment,account_open_date,account_status,region
SYNTHETIC_ACCT_0001,WEALTH,2024-01-28,ACTIVE,NORTH
SYNTHETIC_ACCT_0002,RETAIL,2020-04-25,CLOSED,NORTH
SYNTHETIC_ACCT_0003,WEALTH,2021-08-26,ACTIVE,SOUTH
SYNTHETIC_ACCT_0004,RETAIL,2024-06-08,ACTIVE,WEST
SYNTHETIC_ACCT_0005,RETAIL,2023-07-28,ACTIVE,WEST
SYNTHETIC_ACCT_0006,RETAIL,2020-04-13,SUSPENDED,NORTH
SYNTHETIC_ACCT_0007,SMALL_BIZ,2021-05-20,SUSPENDED,NORTH
SYNTHETIC_ACCT_0008,STUDENT,2024-08-22,ACTIVE,NORTH
SYNTHETIC_ACCT_0009,SMALL_BIZ,2023-04-18,ACTIVE,SOUTH
SYNTHETIC_ACCT_0010,RETAIL,2021-09-19,ACTIVE,SOUTH
SYNTHETIC_ACCT_0011,RETAIL,2021-08-28,SUSPENDED,SOUTH
SYNTHETIC_ACCT_0012,WEALTH,2024-05-16,CLOSED,NORTH
SYNTHETIC_ACCT_0013,RETAIL,2021-06-13,ACTIVE,WEST
SYNTHETIC_ACCT_0014,STUDENT,2020-07-24,ACTIVE,WEST
SYNTHETIC_ACCT_0015,STUDENT,2022-11-22,ACTIVE,SOUTH
SYNTHETIC_ACCT_0016,SMALL_BIZ,2020-12-31,ACTIVE,NORTH
SYNTHETIC_ACCT_0017,WEALTH,2021-12-22,ACTIVE,EAST
SYNTHETIC_ACCT_0018,STUDENT,2023-04-22,SUSPENDED,NORTH
SYNTHETIC_ACCT_0019,RETAIL,2022-01-18,ACTIVE,SOUTH
SYNTHETIC_ACCT_0020,WEALTH,2024-01-25,ACTIVE,WEST
SYNTHETIC_ACCT_0021,RETAIL,2021-03-04,ACTIVE,EAST
SYNTHETIC_ACCT_0022,WEALTH,2021-01-08,ACTIVE,WEST
SYNTHETIC_ACCT_0023,STUDENT,2024-07-14,ACTIVE,EAST
SYNTHETIC_ACCT_0024,STUDENT,2021-01-04,ACTIVE,NORTH
SYNTHETIC_ACCT_0025,WEALTH,2021-04-16,SUSPENDED,WEST
SYNTHETIC_ACCT_0026,WEALTH,2020-11-25,ACTIVE,EAST
SYNTHETIC_ACCT_0027,RETAIL,2022-05-01,ACTIVE,SOUTH
SYNTHETIC_ACCT_0028,RETAIL,2022-02-24,ACTIVE,SOUTH
SYNTHETIC_ACCT_0029,WEALTH,2024-03-12,ACTIVE,WEST
SYNTHETIC_ACCT_0030,STUDENT,2020-01-13,ACTIVE,NORTH
SYNTHETIC_ACCT_0031,SMALL_BIZ,2022-05-27,ACTIVE,EAST
SYNTHETIC_ACCT_0032,SMALL_BIZ,2020-04-29,ACTIVE,EAST
SYNTHETIC_ACCT_0033,STUDENT,2022-11-28,ACTIVE,SOUTH
SYNTHETIC_ACCT_0034,SMALL_BIZ,2024-06-15,ACTIVE,SOUTH
SYNTHETIC_ACCT_0035,SMALL_BIZ,2021-03-24,ACTIVE,NORTH
SYNTHETIC_ACCT_0036,STUDENT,2020-04-04,SUSPENDED,SOUTH
SYNTHETIC_ACCT_0037,WEALTH,2023-05-04,ACTIVE,SOUTH
SYNTHETIC_ACCT_0038,STUDENT,2021-12-03,ACTIVE,EAST
SYNTHETIC_ACCT_0039,SMALL_BIZ,2021-01-17,CLOSED,NORTH
